return_period_yr,lat,lon,prec_idf_hist,prec_idf_future_medium,prec_idf_future_high,ng_idf_hist,ng_idf_future_medium,ng_idf_future_high
2,62.682,-147.53268,50.49,61.22,65.09,97.9,85.62,89.49
2,62.68213,-144.53275,69.5,79.51,83.38,74.6,80.63,84.5
2,62.68214,-148.16132,48.99,59.35,63.22,103.35,90.84,94.71
2,62.68298,-146.42998,57.84,66.91,70.77,96.54,89.89,93.76
2,62.68371,-146.98134,56.1,64.51,68.38,83.82,85.33,89.2
2,62.68505,-145.00702,64.28,77.11,80.98,89.04,90.7,94.57
2,62.68549,-145.95569,64.57,79.82,83.69,89.58,83.4,87.26
2,62.68616,-145.48135,70.23,77.44,81.31,111.76,98.98,102.85
2,62.68639,-148.23874,52.45,61.55,65.42,116.26,100.74,104.6
2,62.68663,-147.61002,50.84,62.44,66.31,105.34,84.04,87.9
2,62.68829,-146.5071,58.67,64.72,68.59,100.02,96.18,100.04
2,62.6886,-144.60944,67.68,77.02,80.88,73.91,80.88,84.75
2,62.68867,-147.05856,54.21,64.7,68.57,84.07,84.07,87.94
2,62.69057,-148.31619,58.56,70.45,74.31,118.23,108.28,112.14
2,62.69109,-146.03271,63.89,77.64,81.5,98.3,85.52,89.39
2,62.6912,-147.68735,52.06,60.45,64.32,99.25,81.91,85.78
2,62.69123,-145.08382,64.78,76.69,80.56,91.03,89.27,93.14
2,62.69205,-145.55827,72.15,79.26,83.13,112.3,100.06,103.93
2,62.69355,-146.58424,61.19,64.01,67.87,98.03,100.31,104.18
2,62.69359,-147.13583,52.68,62.44,66.31,82.45,77.29,81.15
2,62.69471,-148.39368,61.8,74.0,77.87,121.98,106.71,110.58
2,62.69503,-144.68616,64.76,75.68,79.55,74.74,83.32,87.19
2,62.69574,-147.76474,53.1,60.93,64.8,96.99,84.48,88.35
2,62.69664,-146.10977,62.93,74.7,78.56,95.83,87.3,91.17
2,62.69737,-145.16068,64.49,74.7,78.56,92.29,87.94,91.81
2,62.6979,-145.63524,75.32,86.08,89.95,104.28,104.41,108.28
2,62.69847,-147.2131,52.27,63.39,67.26,84.54,80.59,84.46
2,62.69876,-146.66142,63.56,65.92,69.79,102.32,105.67,109.53
2,62.6988,-148.47116,62.58,73.48,77.35,103.1,92.17,96.04
2,62.70022,-147.84213,53.55,60.93,64.8,97.01,78.55,82.41
2,62.70142,-144.76294,63.8,74.72,78.58,76.67,83.71,87.57
2,62.70214,-146.18686,62.71,71.04,74.91,96.85,86.61,90.47
2,62.70285,-148.54871,63.31,71.57,75.43,80.07,84.81,88.68
2,62.70329,-147.29042,57.32,68.03,71.9,98.53,93.35,97.22
2,62.70346,-145.23756,64.22,73.77,77.64,91.4,85.54,89.41
2,62.7037,-145.71223,76.94,90.63,94.49,104.02,104.43,108.3
2,62.70393,-146.73865,63.7,68.49,72.36,103.33,105.17,109.03
2,62.70466,-147.91956,49.45,54.48,58.34,82.59,77.23,81.1
2,62.70684,-148.62625,67.26,71.08,74.95,84.58,84.83,88.69
2,62.70761,-146.26399,62.19,68.74,72.61,95.52,81.41,85.27
2,62.70774,-144.83974,64.05,75.16,79.03,82.1,87.42,91.28
2,62.70807,-147.36777,61.26,72.71,76.57,109.92,100.91,104.78
2,62.70904,-146.81587,63.97,67.27,71.14,103.7,98.94,102.81
2,62.70904,-147.99701,45.1,51.79,55.66,77.66,70.91,74.78
2,62.70945,-145.78925,76.32,88.04,91.9,103.29,96.54,100.41
2,62.70951,-145.31448,66.5,74.1,77.97,94.75,85.89,89.76
2,62.71079,-148.70383,67.53,66.81,70.68,88.73,83.07,86.94
2,62.7128,-147.44513,55.23,65.67,69.54,94.51,93.66,97.53
2,62.71301,-146.34116,61.36,69.15,73.02,89.31,75.22,79.09
2,62.71338,-148.07449,50.19,59.66,63.52,99.17,85.31,89.18
2,62.71404,-144.91656,65.67,78.26,82.12,93.18,91.23,95.09
2,62.71412,-146.89314,63.0,65.53,69.4,97.1,86.59,90.45
2,62.7147,-148.78142,66.0,63.95,67.82,74.2,76.48,80.34
2,62.71516,-145.86632,74.64,83.76,87.63,105.2,91.9,95.77
2,62.7155,-145.39145,70.72,76.73,80.59,110.15,94.13,97.99
2,62.71731,-144.51855,73.23,84.0,87.86,79.42,87.53,91.4
2,62.71748,-147.52254,50.61,62.94,66.81,93.08,88.35,92.21
2,62.71767,-148.15201,56.53,70.48,74.35,118.58,101.9,105.76
2,62.71838,-146.41833,60.53,68.14,72.01,90.01,76.52,80.38
2,62.71914,-146.97046,60.72,68.16,72.03,92.0,88.31,92.17
2,62.72028,-144.99345,67.55,79.4,83.26,98.3,91.54,95.4
2,62.72082,-145.94342,75.63,85.06,88.93,102.07,93.47,97.34
2,62.72145,-145.46843,73.63,79.51,83.38,111.39,104.2,108.06
2,62.72192,-148.22954,54.84,68.92,72.78,116.84,102.03,105.9
2,62.72211,-147.59996,48.52,62.04,65.9,101.11,89.18,93.04
2,62.7237,-146.49557,60.66,66.48,70.35,100.91,88.71,92.58
2,62.7238,-144.59535,69.36,82.08,85.95,81.31,87.48,91.34
2,62.72411,-147.04779,59.12,67.62,71.49,93.78,94.38,98.24
2,62.72611,-148.3071,54.9,67.16,71.03,90.8,85.87,89.74
2,62.72643,-146.02054,76.05,81.75,85.62,102.28,94.07,97.94
2,62.72648,-145.07037,68.18,78.33,82.2,98.77,91.52,95.38
2,62.72669,-147.67741,48.54,59.56,63.43,93.41,81.97,85.83
2,62.72736,-145.54546,77.21,84.79,88.66,114.79,114.97,118.83
2,62.72897,-146.57281,62.5,66.06,69.92,97.14,92.66,96.52
2,62.72904,-147.12514,56.95,63.81,67.68,84.42,83.53,87.4
2,62.73024,-144.67218,65.4,78.6,82.47,79.63,85.06,88.93
2,62.73026,-148.38467,59.7,69.34,73.21,79.86,86.03,89.89
2,62.73124,-147.7549,51.64,59.72,63.58,108.22,84.67,88.54
2,62.73199,-146.09772,74.04,80.03,83.9,101.28,99.91,103.77
2,62.73263,-145.14732,67.16,75.49,79.36,96.97,90.11,93.97
2,62.73321,-145.62253,83.63,89.82,93.68,116.88,122.12,125.99
2,62.73392,-147.20251,56.84,66.23,70.1,89.22,83.32,87.19
2,62.73418,-146.65009,66.13,68.16,72.03,103.0,101.82,105.69
2,62.73436,-148.46228,62.21,70.56,74.43,79.53,85.29,89.16
2,62.73572,-147.8324,52.83,59.12,62.98,104.66,85.5,89.37
2,62.73663,-144.74905,65.32,76.94,80.81,85.66,85.5,89.37
2,62.7375,-146.1749,74.29,78.47,82.33,107.41,104.14,108.01
2,62.73841,-148.53992,61.2,67.24,71.1,77.27,77.56,81.43
2,62.73873,-145.2243,67.12,76.38,80.25,102.13,91.05,94.92
2,62.73875,-147.27994,66.04,75.41,79.28,113.32,102.32,106.19
2,62.73901,-145.69962,88.89,97.37,101.24,122.72,123.65,127.51
2,62.73935,-146.72742,66.37,69.81,73.67,103.79,101.36,105.22
