return_period_yr,lat,lon,prec_idf_hist,prec_idf_future_medium,prec_idf_future_high,ng_idf_hist,ng_idf_future_medium,ng_idf_future_high
2,62.682,-147.53268,11.37,13.79,14.66,22.04,19.28,20.15
2,62.68213,-144.53275,15.65,17.9,18.77,16.8,18.16,19.03
2,62.68214,-148.16132,11.03,13.36,14.23,23.27,20.45,21.32
2,62.68298,-146.42998,13.02,15.06,15.94,21.74,20.24,21.11
2,62.68371,-146.98134,12.63,14.53,15.4,18.87,19.21,20.08
2,62.68505,-145.00702,14.47,17.36,18.23,20.05,20.42,21.29
2,62.68549,-145.95569,14.54,17.97,18.84,20.17,18.78,19.65
2,62.68616,-145.48135,15.81,17.44,18.31,25.16,22.29,23.16
2,62.68639,-148.23874,11.81,13.86,14.73,26.18,22.68,23.55
2,62.68663,-147.61002,11.45,14.06,14.93,23.72,18.92,19.79
2,62.68829,-146.5071,13.21,14.57,15.44,22.52,21.65,22.53
2,62.6886,-144.60944,15.24,17.34,18.21,16.64,18.21,19.08
2,62.68867,-147.05856,12.21,14.57,15.44,18.93,18.93,19.8
2,62.69057,-148.31619,13.18,15.86,16.73,26.62,24.38,25.25
2,62.69109,-146.03271,14.39,17.48,18.35,22.13,19.26,20.13
2,62.6912,-147.68735,11.72,13.61,14.48,22.35,18.44,19.31
2,62.69123,-145.08382,14.59,17.27,18.14,20.5,20.1,20.97
2,62.69205,-145.55827,16.24,17.85,18.72,25.29,22.53,23.4
2,62.69355,-146.58424,13.78,14.41,15.28,22.07,22.59,23.46
2,62.69359,-147.13583,11.86,14.06,14.93,18.56,17.4,18.27
2,62.69471,-148.39368,13.92,16.66,17.53,27.47,24.03,24.9
2,62.69503,-144.68616,14.58,17.04,17.91,16.83,18.76,19.63
2,62.69574,-147.76474,11.96,13.72,14.59,21.84,19.02,19.89
2,62.69664,-146.10977,14.17,16.82,17.69,21.58,19.66,20.53
2,62.69737,-145.16068,14.52,16.82,17.69,20.78,19.8,20.67
2,62.6979,-145.63524,16.96,19.38,20.25,23.48,23.51,24.38
2,62.69847,-147.2131,11.77,14.27,15.14,19.03,18.15,19.02
2,62.69876,-146.66142,14.31,14.84,15.71,23.04,23.79,24.66
2,62.6988,-148.47116,14.09,16.54,17.42,23.21,20.75,21.62
2,62.70022,-147.84213,12.06,13.72,14.59,21.84,17.69,18.56
2,62.70142,-144.76294,14.36,16.82,17.69,17.26,18.85,19.72
2,62.70214,-146.18686,14.12,16.0,16.87,21.81,19.5,20.37
2,62.70285,-148.54871,14.26,16.11,16.98,18.03,19.1,19.97
2,62.70329,-147.29042,12.91,15.32,16.19,22.19,21.02,21.89
2,62.70346,-145.23756,14.46,16.61,17.48,20.58,19.26,20.13
2,62.7037,-145.71223,17.32,20.41,21.28,23.42,23.51,24.38
2,62.70393,-146.73865,14.34,15.42,16.29,23.27,23.68,24.55
2,62.70466,-147.91956,11.13,12.27,13.14,18.59,17.39,18.26
2,62.70684,-148.62625,15.14,16.01,16.88,19.04,19.1,19.97
2,62.70761,-146.26399,14.0,15.48,16.35,21.51,18.33,19.2
2,62.70774,-144.83974,14.42,16.92,17.79,18.49,19.68,20.55
2,62.70807,-147.36777,13.79,16.37,17.24,24.75,22.72,23.59
